18,,山田健太, 高安秀樹, 高安美佐子,,サイバー空間上での口コミブームのシミュレーション,,ビッグデータと社会シミュレーション, 日本シミュレーション学会誌,,,,,,,,2014,,
17,,由良嘉啓, 高安美佐子,,外国為替市場のシミュレーション,,ビッグデータと社会シミュレーション, 日本シミュレーション学会誌,,,,,,,,2014,,
16,,田村光太郎, 高安美佐子,,企業間取引ネットワーク上でのお金の流れのモデル化とシミュレーション,,ビッグデータと社会シミュレーション, 日本シミュレーション学会誌,,,,,,,,2014,,
15,,高安美佐子, 三浦航, 田村光太郎,,企業取引ネットワークの形成と特性,,システム/制御/情報:システム制御情報学会誌,,56,,10,,517-522,,2012,,
14,,山田健太, 佐野幸恵, 高安秀樹, 高安美佐子,,ソーシャルネットワークの力学-ブログ解析から,,システム/制御/情報:システム制御情報学会誌,,56,,10,,536-541,,2012,,
13,,大西立顕, 高安秀樹, 高安美佐子,,企業間ネットワークの数理構造,,応用数理,,20,,3,,223-235,,2010,,
12,,高安美佐子, 高安秀樹,,金融市場のポテンシャル力の観測と応用,,証券アナリストジャ－ナル,,48,,1,,78-85,,2010,,
11,,高安美佐子, 高安秀樹,,金融市場を支配する法則--非線形ポテンシャルと暴騰暴落,,科学,,78,,11,,1238-1241,,2008,,
10,,高安美佐子,,人間と社会の時間の矢,,数理科学,,42,,7,,49-54,,2004,,
9,,福田健介、高安秀樹、高安美佐子,,自己相似トラフィックにおけるTCPの寄与,,コンピュ－タソフトウェア,,,,,,,,2000,,
8,,高安美佐子,,取引数のゆらぎと心理時間,,数理科学,,40,,10,,33-37,,2002,,
7,,高安秀樹, 水野貴之, 高安美佐子,,ハイパーインフレーションの数理,,数理科学,,40,,3,,78-83,,2002,,
6,,高安美佐子,,エコノフィジックス-社会の複雑さに挑む物理学の誕生,,GAKUTO,,99,,9,,12-15,,2002,,
5,,高安美佐子,,インターネットの交通流にみられる自己組織化,,数理科学,,1月号,,,,64-74,,1999,,
4,,山家智之, 南家俊介, 小林信一, 永沼滋, 柿沼義人, 高安美佐子, 他,,精神作業負荷における循環動態の非線形解析によるストレス評価,,疲労と休養の科学,,10,,1,,93-97,,1997,,http://jglobal.jst.go.jp/public/20090422/200902125874899517
3,,高安美佐子,,インターネットの輻輳としきい値間隔分布法による時系列の解析,,知能情報・高度情報処理シンポジウム論文集(日本学術振興会・未来開拓学術推進事業編,,,,,,165-169,,1997,,
2,,山家智之, 吉澤誠, 南家俊介, 永沼滋, 柿沼義人, 秋保洋, 小林信一, 高安美佐子, 他,,ヘッドマウンテッドディスプレーによるバーチャルリアリティにおける心拍変動の非線形性,,日本バ－チャルリアリティ学会論文集,,1,,1,,10-15,,1996,,http://ci.nii.ac.jp/naid/110008748643
1,, 山家智之, 南家俊介, 薗部太郎, 永沼滋, 柿沼義人, 小林信一, 秋保洋, 井筒憲司, 大沢上, 高安美佐子, 他,,フラクタル理論を用いた人工心臓による血行動態時系列曲線の非線形解析,,人工心臓,,24,,3,,852-857,,1995,,